avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.00410509,0.403276623,VIP,Exc-L3-LINC00507-CTXN3,-0.305179639
1.427178173,75.4568368,SYP,Exc-L3-LINC00507-CTXN3,-0.160615763
0.309405902,2.425960933,SST,Exc-L3-LINC00507-CTXN3,0.20355412
0.21659701,13.08128544,RORB,Exc-L3-LINC00507-CTXN3,-0.528043605
5.177425422,95.66477631,RBFOX3,Exc-L3-LINC00507-CTXN3,1.037188981
0.005538139,0.611216131,PVALB,Exc-L3-LINC00507-CTXN3,-0.233355231
0.292887159,21.12161311,PCP4,Exc-L3-LINC00507-CTXN3,0.072850586
0.113543896,13.02457467,NTNG2,Exc-L3-LINC00507-CTXN3,-0.281267922
0.23911482,15.99873976,NTNG1,Exc-L3-LINC00507-CTXN3,-0.563378931
0.005251163,0.560806553,NPY,Exc-L3-LINC00507-CTXN3,-0.304647225
9.713077582,98.55702583,MAP2,Exc-L3-LINC00507-CTXN3,-0.040295101
1.783046458,75.6710775,LMO4,Exc-L3-LINC00507-CTXN3,0.128428866
0.003402241,0.491493384,LHX6,Exc-L3-LINC00507-CTXN3,-0.411820407
2.762096866,60.05040958,GPC5,Exc-L3-LINC00507-CTXN3,0.070979166
0.036924027,3.799621928,GAD2,Exc-L3-LINC00507-CTXN3,-0.564632381
0.028082629,3.100189036,GAD1,Exc-L3-LINC00507-CTXN3,-0.63182319
0.051541979,5.721487083,FOXP2,Exc-L3-LINC00507-CTXN3,-0.737992094
5.353074614,94.71959672,CUX2,Exc-L3-LINC00507-CTXN3,1.694934331
1.364123854,64.14618778,CCK,Exc-L3-LINC00507-CTXN3,-0.103433249
0.01191637,1.405166982,CALB2,Exc-L3-LINC00507-CTXN3,-0.333034711
0.022232179,2.84183995,CALB1,Exc-L3-LINC00507-CTXN3,-0.479013443
5.693174134,95.6899811,APP,Exc-L3-LINC00507-CTXN3,-0.527565784
0.14681636,10.04410838,ADARB2,Exc-L3-LINC00507-CTXN3,-0.46466608
0.963532796,64.53056081,ADARB1,Exc-L3-LINC00507-CTXN3,0.581960104
0.001984272,0.291767094,VIP,Exc-L5-RORB-LINC01202,-0.311764104
1.839236464,84.98033743,SYP,Exc-L5-RORB-LINC01202,1.872644722
0.01145537,1.002156539,SST,Exc-L5-RORB-LINC01202,-0.496893853
11.28926641,98.92173031,RORB,Exc-L5-RORB-LINC01202,2.331469358
3.392234605,93.93631866,RBFOX3,Exc-L5-RORB-LINC01202,-0.475553773
0.002547741,0.3932513,PVALB,Exc-L5-RORB-LINC01202,-0.268043367
0.028293229,3.615374857,PCP4,Exc-L5-RORB-LINC01202,-0.526232986
0.104295734,13.97944945,NTNG2,Exc-L5-RORB-LINC01202,-0.296521149
1.379558067,60.89052391,NTNG1,Exc-L5-RORB-LINC01202,-0.135214721
0.00552443,0.482049981,NPY,Exc-L5-RORB-LINC01202,-0.303720838
6.961367158,98.24939744,MAP2,Exc-L5-RORB-LINC01202,-1.574946432
3.762547169,94.1519726,LMO4,Exc-L5-RORB-LINC01202,1.8233728
0.004717422,0.570848662,LHX6,Exc-L5-RORB-LINC01202,-0.408268418
2.216528641,60.82709628,GPC5,Exc-L5-RORB-LINC01202,-0.205621121
0.0252234,2.917670937,GAD2,Exc-L5-RORB-LINC01202,-0.570224824
0.025781434,3.564632754,GAD1,Exc-L5-RORB-LINC01202,-0.633119437
6.365218041,96.96815933,FOXP2,Exc-L5-RORB-LINC01202,1.771223692
0.585073593,28.42826335,CUX2,Exc-L5-RORB-LINC01202,-0.539226611
1.803846312,76.39223646,CCK,Exc-L5-RORB-LINC01202,0.286515778
0.006052837,1.002156539,CALB2,Exc-L5-RORB-LINC01202,-0.343102023
0.006286739,0.951414436,CALB1,Exc-L5-RORB-LINC01202,-0.725736166
4.952192231,96.1182291,APP,Exc-L5-RORB-LINC01202,-1.382324364
0.079443139,7.991881263,ADARB2,Exc-L5-RORB-LINC01202,-0.467249231
0.787977628,63.46568565,ADARB1,Exc-L5-RORB-LINC01202,-0.097295194
0.001671525,0.318549375,VIP,Exc-L4-6-RORB-LCN15,-0.312735081
1.721393731,84.45234011,SYP,Exc-L4-6-RORB-LCN15,1.291161527
0.013746626,1.078167116,SST,Exc-L4-6-RORB-LCN15,-0.491507371
8.050459903,97.07179613,RORB,Exc-L4-6-RORB-LCN15,1.495048722
5.684781428,96.83901005,RBFOX3,Exc-L4-6-RORB-LCN15,1.467114519
0.003877092,0.612594952,PVALB,Exc-L4-6-RORB-LCN15,-0.252623108
0.525346635,32.52879196,PCP4,Exc-L4-6-RORB-LCN15,0.599176541
0.231507947,30.01715266,NTNG2,Exc-L4-6-RORB-LCN15,-0.086706866
1.221788424,40.14947317,NTNG1,Exc-L4-6-RORB-LCN15,-0.19444723
0.005507881,0.624846851,NPY,Exc-L4-6-RORB-LCN15,-0.30377694
9.515654352,98.84832149,MAP2,Exc-L4-6-RORB-LCN15,-0.150399646
2.243827155,87.89512374,LMO4,Exc-L4-6-RORB-LCN15,0.522971511
0.004327549,0.735113943,LHX6,Exc-L4-6-RORB-LCN15,-0.409321372
3.577133971,76.41509434,GPC5,Exc-L4-6-RORB-LCN15,0.484198789
0.022181445,3.07522666,GAD2,Exc-L4-6-RORB-LCN15,-0.57167876
0.027771178,3.393776035,GAD1,Exc-L4-6-RORB-LCN15,-0.631998628
5.156049039,94.13134036,FOXP2,Exc-L4-6-RORB-LCN15,1.290669112
0.182060457,11.21048763,CUX2,Exc-L4-6-RORB-LCN15,-0.728068057
1.22781763,52.19308993,CCK,Exc-L4-6-RORB-LCN15,-0.224310585
0.00799709,1.212938005,CALB2,Exc-L4-6-RORB-LCN15,-0.339763865
0.018862469,2.523891203,CALB1,Exc-L4-6-RORB-LCN15,-0.531152751
6.3905974,96.79000245,APP,Exc-L4-6-RORB-LCN15,0.276945793
0.108964008,10.70815976,ADARB2,Exc-L4-6-RORB-LCN15,-0.466117374
0.721094663,63.51384465,ADARB1,Exc-L4-6-RORB-LCN15,-0.356077714
0.002675024,0.508986798,VIP,Exc-L3-RORB-CARTPT,-0.309619538
1.523728495,83.52155241,SYP,Exc-L3-RORB-CARTPT,0.31580216
0.058295736,2.004135518,SST,Exc-L3-RORB-CARTPT,-0.386777455
4.657187451,82.47176714,RORB,Exc-L3-RORB-CARTPT,0.618737309
4.712842992,95.7531414,RBFOX3,Exc-L3-RORB-CARTPT,0.643509102
0.004741196,0.858915222,PVALB,Exc-L3-RORB-CARTPT,-0.242599633
0.0545759,8.14378877,PCP4,Exc-L3-RORB-CARTPT,-0.466724755
0.127274196,18.78479402,NTNG2,Exc-L3-RORB-CARTPT,-0.258622196
3.470667131,85.3030062,NTNG1,Exc-L3-RORB-CARTPT,0.649864294
0.004022562,0.588515985,NPY,Exc-L3-RORB-CARTPT,-0.308812236
8.622360581,98.75934468,MAP2,Exc-L3-RORB-CARTPT,-0.648596862
2.71112767,91.85621123,LMO4,Exc-L3-RORB-CARTPT,0.923096739
0.003359616,0.461269286,LHX6,Exc-L3-RORB-CARTPT,-0.411935528
0.943518142,45.26801336,GPC5,Exc-L3-RORB-CARTPT,-0.851030902
0.023399244,3.292508351,GAD2,Exc-L3-RORB-CARTPT,-0.571096699
0.022502343,3.372037538,GAD1,Exc-L3-RORB-CARTPT,-0.634966525
0.538611723,31.06410052,FOXP2,Exc-L3-RORB-CARTPT,-0.544418164
6.985187234,97.23238429,CUX2,Exc-L3-RORB-CARTPT,2.459699744
1.397426673,71.16271672,CCK,Exc-L3-RORB-CARTPT,-0.07390007
0.007508447,1.383807857,CALB2,Exc-L3-RORB-CARTPT,-0.340602833
0.145115594,18.64164148,CALB1,Exc-L3-RORB-CARTPT,1.422353311
6.211455428,96.93017337,APP,Exc-L3-RORB-CARTPT,0.070296835
0.261632162,15.74677907,ADARB2,Exc-L3-RORB-CARTPT,-0.460263937
0.804534249,69.20629871,ADARB1,Exc-L3-RORB-CARTPT,-0.033234576
1.276458654,44.18857661,VIP,Inh-L1-4-VIP-CHRNA2,2.5
1.220579925,58.04170444,SYP,Inh-L1-4-VIP-CHRNA2,-1.180054186
0.021177171,1.015412511,SST,Inh-L1-4-VIP-CHRNA2,-0.474039
0.159251718,7.615593835,RORB,Inh-L1-4-VIP-CHRNA2,-0.542853006
2.495951486,74.28830462,RBFOX3,Inh-L1-4-VIP-CHRNA2,-1.235050058
0.009968117,0.797824116,PVALB,Inh-L1-4-VIP-CHRNA2,-0.181968184
0.355117443,17.58839529,PCP4,Inh-L1-4-VIP-CHRNA2,0.213750041
0.154507787,12.43880326,NTNG2,Inh-L1-4-VIP-CHRNA2,-0.213705154
0.446804669,14.12511333,NTNG1,Inh-L1-4-VIP-CHRNA2,-0.485404547
0.021041451,0.979147779,NPY,Inh-L1-4-VIP-CHRNA2,-0.251117443
9.677585214,96.31912965,MAP2,Inh-L1-4-VIP-CHRNA2,-0.060089484
0.323925793,21.70444243,LMO4,Inh-L1-4-VIP-CHRNA2,-1.120940588
0.009486572,0.562103354,LHX6,Inh-L1-4-VIP-CHRNA2,-0.395388084
1.014484226,25.18585675,GPC5,Inh-L1-4-VIP-CHRNA2,-0.815051462
1.410547889,56.57298277,GAD2,Inh-L1-4-VIP-CHRNA2,0.091906221
3.172067305,78.78513146,GAD1,Inh-L1-4-VIP-CHRNA2,1.139160763
0.072862304,4.152311877,FOXP2,Inh-L1-4-VIP-CHRNA2,-0.729518853
0.099330718,5.113327289,CUX2,Inh-L1-4-VIP-CHRNA2,-0.766833056
2.884440023,53.00090662,CCK,Inh-L1-4-VIP-CHRNA2,1.244794024
2.20203685,66.21940163,CALB2,Inh-L1-4-VIP-CHRNA2,2.5
0.01931563,1.233000907,CALB1,Inh-L1-4-VIP-CHRNA2,-0.524141013
6.627677542,91.80417044,APP,Inh-L1-4-VIP-CHRNA2,0.55042924
55.44947327,98.96645512,ADARB2,Inh-L1-4-VIP-CHRNA2,1.655688212
0.726847558,44.22484134,ADARB1,Inh-L1-4-VIP-CHRNA2,-0.3338187
0.002840418,0.487804878,VIP,Inh-L3-4-PVALB-HOMER3,-0.309106041
1.468252145,75.95408895,SYP,Inh-L3-4-PVALB-HOMER3,0.042059652
0.072449729,3.098995696,SST,Inh-L3-4-PVALB-HOMER3,-0.35350302
0.06807119,6.857962697,RORB,Inh-L3-4-PVALB-HOMER3,-0.566400345
1.858485319,79.48350072,RBFOX3,Inh-L3-4-PVALB-HOMER3,-1.775228909
0.348700002,27.89096126,PVALB,Inh-L3-4-PVALB-HOMER3,2.5
0.025657065,3.414634146,PCP4,Inh-L3-4-PVALB-HOMER3,-0.532201689
0.034413478,4.246771879,NTNG2,Inh-L3-4-PVALB-HOMER3,-0.411779699
0.044001414,4.074605452,NTNG1,Inh-L3-4-PVALB-HOMER3,-0.636631658
0.007370776,0.545193687,NPY,Inh-L3-4-PVALB-HOMER3,-0.297461642
8.901758097,97.99139168,MAP2,Inh-L3-4-PVALB-HOMER3,-0.49277459
0.300353164,29.01004304,LMO4,Inh-L3-4-PVALB-HOMER3,-1.141124609
0.965754521,64.47632712,LHX6,Inh-L3-4-PVALB-HOMER3,2.187263037
3.836493124,44.93543759,GPC5,Inh-L3-4-PVALB-HOMER3,0.615692547
4.762760198,92.82639885,GAD2,Inh-L3-4-PVALB-HOMER3,1.69413289
4.998806504,91.13342898,GAD1,Inh-L3-4-PVALB-HOMER3,2.168149814
0.123790142,7.317073171,FOXP2,Inh-L3-4-PVALB-HOMER3,-0.709278832
2.588626478,54.69153515,CUX2,Inh-L3-4-PVALB-HOMER3,0.399586024
0.164488861,14.86370158,CCK,Inh-L3-4-PVALB-HOMER3,-1.167278157
0.004989042,0.573888092,CALB2,Inh-L3-4-PVALB-HOMER3,-0.34492849
0.094942604,9.038737446,CALB1,Inh-L3-4-PVALB-HOMER3,0.646030032
5.394454904,94.54806313,APP,Inh-L3-4-PVALB-HOMER3,-0.872152911
0.119248565,9.12482066,ADARB2,Inh-L3-4-PVALB-HOMER3,-0.465723054
1.597125105,78.68005739,ADARB1,Inh-L3-4-PVALB-HOMER3,2.5
0.003625075,0.422450211,VIP,Exc-L6-THEMIS-LINC00343,-0.306669932
1.589439395,84.49004225,SYP,Exc-L6-THEMIS-LINC00343,0.640046033
0.323405477,2.263126132,SST,Exc-L6-THEMIS-LINC00343,0.236465537
0.394413424,26.67471334,RORB,Exc-L6-THEMIS-LINC00343,-0.482122578
4.796184983,94.11587206,RBFOX3,Exc-L6-THEMIS-LINC00343,0.714131801
0.001528693,0.362100181,PVALB,Exc-L6-THEMIS-LINC00343,-0.279864158
0.019001594,3.31925166,PCP4,Exc-L6-THEMIS-LINC00343,-0.547270754
0.258343953,35.51599276,NTNG2,Exc-L6-THEMIS-LINC00343,-0.042445572
0.094565632,8.569704285,NTNG1,Exc-L6-THEMIS-LINC00343,-0.617647996
0.004239565,0.814725407,NPY,Exc-L6-THEMIS-LINC00343,-0.308076587
12.03019227,98.88352444,MAP2,Exc-L6-THEMIS-LINC00343,1.251978646
2.890653763,92.72782136,LMO4,Exc-L6-THEMIS-LINC00343,1.076815634
0.004713666,1.056125528,LHX6,Exc-L6-THEMIS-LINC00343,-0.408278564
1.819327452,64.90645745,GPC5,Exc-L6-THEMIS-LINC00343,-0.407000083
0.025254747,4.013277007,GAD2,Exc-L6-THEMIS-LINC00343,-0.570209841
0.027909055,3.37960169,GAD1,Exc-L6-THEMIS-LINC00343,-0.631920963
0.988481739,42.6071213,FOXP2,Exc-L6-THEMIS-LINC00343,-0.365628353
0.117416427,8.388654194,CUX2,Exc-L6-THEMIS-LINC00343,-0.758358564
2.312673641,77.61013881,CCK,Exc-L6-THEMIS-LINC00343,0.737747499
0.005314925,0.995775498,CALB2,Exc-L6-THEMIS-LINC00343,-0.344368969
0.036097474,5.009052505,CALB1,Exc-L6-THEMIS-LINC00343,-0.264476673
7.260372268,95.77549789,APP,Exc-L6-THEMIS-LINC00343,1.280273305
0.121465141,11.4061557,ADARB2,Exc-L6-THEMIS-LINC00343,-0.465638069
0.777718728,69.28183464,ADARB1,Exc-L6-THEMIS-LINC00343,-0.136988771
0.001818999,0.314070352,VIP,Exc-L3-5-RORB-HSPB3,-0.312277222
1.763610783,86.27512563,SYP,Exc-L3-5-RORB-HSPB3,1.499477352
0.011741097,1.099246231,SST,Exc-L3-5-RORB-HSPB3,-0.496222142
9.593336552,97.64447236,RORB,Exc-L3-5-RORB-HSPB3,1.893496072
2.615140918,90.10678392,RBFOX3,Exc-L3-5-RORB-HSPB3,-1.134050799
0.00367099,0.502512563,PVALB,Exc-L3-5-RORB-HSPB3,-0.255013852
0.104827919,8.385678392,PCP4,Exc-L3-5-RORB-HSPB3,-0.352946035
0.132042203,18.65577889,NTNG2,Exc-L3-5-RORB-HSPB3,-0.250758203
3.618131576,80.33919598,NTNG1,Exc-L3-5-RORB-HSPB3,0.705227853
0.005601434,0.376884422,NPY,Exc-L3-5-RORB-HSPB3,-0.303459789
7.627785578,97.86432161,MAP2,Exc-L3-5-RORB-HSPB3,-1.203279447
2.843766354,91.86557789,LMO4,Exc-L3-5-RORB-HSPB3,1.036668375
0.002722186,0.471105528,LHX6,Exc-L3-5-RORB-HSPB3,-0.413657075
0.475575204,26.13065327,GPC5,Exc-L3-5-RORB-HSPB3,-1.088275566
0.026318383,2.60678392,GAD2,Exc-L3-5-RORB-HSPB3,-0.569701465
0.016901727,2.66959799,GAD1,Exc-L3-5-RORB-HSPB3,-0.638121312
3.571365086,85.2701005,FOXP2,Exc-L3-5-RORB-HSPB3,0.66087532
